awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type,visited,latitude,longitude,reviews
食べログ ラーメン TOKYO 百名店 2023 選出店,麺処 しろくろ,八幡山駅 57m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.91,月曜日,https://tabelog.com/tokyo/A1318/A131809/13242508/,予約不可,,京王線八幡山駅から徒歩1分 八幡山駅から57m,,,カード不可 電子マネー不可 QRコード決済不可,"35.66976143867525,139.61552868437434",不明の為情報お待ちしております,東京都杉並区上高井戸1-1-7 ,873,ramen,False,35.66976143867525,139.61552868437434,
食べログ ラーメン TOKYO 百名店 2023 選出店,Ramen Break Beats,祐天寺駅 829m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.9,月曜日、火曜日、水曜日,https://tabelog.com/tokyo/A1317/A131701/13267329/,完全予約制,,東急東横線「祐天寺駅」徒歩13分東急バス 黒０６系統（目黒駅〜三軒茶屋）「祐天寺裏」停留所下車 徒歩4分 祐天寺駅から829m,11:30 - 15:00,■ 定休日不定休、Instagram、Xでご確認ください。■予約公式SNSでご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、WAON、iD） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.63351513872478,139.69876768394988",不明の為情報お待ちしております,東京都目黒区目黒4-21-19 アイビーハイツ 1F,1051,ramen,True,35.63351513872478,139.69876768394988,
食べログ ラーメン TOKYO 百名店 2023 選出店,入鹿TOKYO,東久留米駅 206m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.9,-,https://tabelog.com/tokyo/A1328/A132802/13234223/,予約不可,,西武池袋線・東久留米駅西口から徒歩3分 東久留米駅から206m,11:00 - 15:00,■ 営業時間[月]＊店内営業[火～日]＊テイクアウトのみ■ 定休日不定休,カード不可 電子マネー不可 QRコード決済不可,"35.759212538591875,139.53214608533634",042-470-8082,東京都東久留米市本町1-4-28 ,568,ramen,False,35.759212538591875,139.53214608533634,
,中華そば 鴨福,八王子市 , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.9,月曜日、木曜日、日曜日、祝日,https://tabelog.com/tokyo/A1329/A132904/13297180/,予約不可,,"JR八王子駅北口から徒歩14分 八王子駅から1,036m",11:00 - 15:00,【定休日】月曜日、木曜日、日曜日、祝日※夜営業はしばらくお休みします。【備考】売り切れ次第終了券売機無し現金のみ 対面手売り前払い制＊1万円等 くずして行く事をオススメします。,カード不可 電子マネー不可 QRコード決済不可,"35.657443038591474,139.32792498445153",不明の為情報お待ちしております,東京都八王子市小門町5-3 ,204,ramen,False,35.657443038591474,139.32792498445153,
食べログ ラーメン TOKYO 百名店 2023 選出店,創作麺工房 鳴龍,新大塚駅 320m , ラーメン・つけ麺(担々麺)、ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,火曜日,https://tabelog.com/tokyo/A1323/A132302/13141302/,完全予約制,"2024/02/01より整理券制導入営業日の午前8:00より受付・発券開始店頭に設置されるタブレット端末で当日分の受付・発券が可能予約可能時間は11:00からの30分刻み(11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30)",東京メトロ 丸ノ内線 新大塚駅北口より徒歩5分JR 山手線 大塚駅南口より徒歩６分 新大塚駅から320m,,,カード不可 電子マネー不可 QRコード決済不可,"35.72867583867439,139.73034258488897",03-6304-1811,東京都豊島区南大塚2-34-4 SKY南大塚 1F,2011,ramen,False,35.72867583867439,139.73034258488897,
食べログ ラーメン TOKYO 百名店 2023 選出店,入鹿TOKYO 六本木,六本木駅 233m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,月曜日,https://tabelog.com/tokyo/A1307/A130701/13264260/,予約不可,,六本木駅7番出口から徒歩2分 六本木駅から233m,,,カード不可 電子マネー不可 QRコード決済不可,"35.66476997262819,139.73168267207618",03-5786-0029,東京都港区六本木4-12-12 穂高ビル 1F,1771,ramen,True,35.66476997262819,139.73168267207618,
食べログ ラーメン TOKYO 百名店 2023 選出店,純手打ち だるま,中野富士見町駅 75m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,-,https://tabelog.com/tokyo/A1319/A131903/13218715/,予約不可,,中野富士見町駅から75m,11:30 - 15:00,■ 定休日不定休（備考欄、Twitter、Googleの毎月営業カレンダー参照）,カード不可 電子マネー不可 QRコード決済不可,"35.69094203867803,139.66652248455256",非公開,東京都杉並区和田1-18-3 ,1081,ramen,False,35.69094203867803,139.66652248455256,
,麺 みつヰ,田原町駅 36m , ラーメン・つけ麺(ラーメン)、丼,,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,月曜日、日曜日,https://tabelog.com/tokyo/A1311/A131102/13284327/,予約不可,,田原町駅から36m,,,カード可 電子マネー可 QRコード決済不可,"35.70953363870565,139.79032188465357",不明の為情報お待ちしております,東京都台東区寿2-9-15 ,678,ramen,False,35.70953363870565,139.79032188465357,
食べログ ラーメン TOKYO 百名店 2023 選出店,中華そば 多賀野,荏原中延駅 36m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.88,水曜日,https://tabelog.com/tokyo/A1317/A131712/13003421/,予約不可,,・東急池上線「荏原中延」駅から徒歩1分・都営地下鉄浅草線「中延」駅(A3出口)から徒歩9分・東急大井町線「戸越公園」駅(南口)から徒歩8分 荏原中延駅から36m,11:30 - 14:30,臨時休業のお知らせ５日(火)、9日(日)お休みさせて頂きます。よろしくお願いします。■ 営業時間スープが終わり次第終了,カード不可 電子マネー不可 QRコード決済不可,"35.60971553874397,139.71155868370053",03-3787-2100,東京都品川区中延2-15-10 ,1932,ramen,False,35.60971553874397,139.71155868370053,
食べログ ラーメン TOKYO 百名店 2023 選出店,中華そば べんてん,地下鉄成増駅 180m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.88,日曜日,https://tabelog.com/tokyo/A1322/A132204/13200351/,予約不可,,東京メトロ有楽町線・副都心線「地下鉄成増」駅(1番出口)から徒歩3分東武東上線「成増」駅(南口)から徒歩6分 地下鉄成増駅から180m,,,カード不可 電子マネー不可 QRコード決済不可,"35.776162657683805,139.62925132804418",不明の為情報お待ちしております,東京都練馬区旭町3-25-2 ,1289,ramen,False,35.776162657683805,139.62925132804418,
食べログ ラーメン TOKYO 百名店 2023 選出店,中華蕎麦 ひら井,府中市 , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.88,火曜日,https://tabelog.com/tokyo/A1326/A132602/13259078/,予約不可,行列や待ち時間の確認のための営業時間中の問い合わせはお控えください。,"北府中・国分寺から徒歩1.5キロまたは国分寺駅より京王バス[寺91]明星学苑経由府中駅（東京都）行き乗車「京王ストア栄町店」下車191m 北府中駅から1,072m",,,カード不可 電子マネー不可 QRコード決済不可,"35.688034438620356,139.47960898465422",不明の為情報お待ちしております,東京都府中市栄町2-11-7 ,936,ramen,False,35.688034438620356,139.47960898465422,
,手打ち 陰日向,分倍河原駅 387m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.88,水曜日,https://tabelog.com/tokyo/A1326/A132602/13297403/,予約不可,,分倍河原駅から387m,11:00 - 15:00,電話番号は非公開,カード不可 電子マネー不可 QRコード決済不可,"35.67164853862677,139.46707858449747",不明の為情報お待ちしております,東京都府中市美好町3-9-10 ,379,ramen,False,35.67164853862677,139.46707858449747,
食べログ ラーメン TOKYO 百名店 2023 選出店,麺屋 さくら井,三鷹駅 755m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.87,水曜日,https://tabelog.com/tokyo/A1320/A132002/13202438/,予約不可,,＜電車を使う場合＞JR中央線または総武線「三鷹」駅(北口)から徒歩12分＜バスを使う場合＞関東バス・西武バス「西久保二丁目」が最寄りバス停から徒歩3分 三鷹駅から755m,11:30 - 15:00,■ 定休日水曜は豚骨魚介のお店 KEN軒 として営業,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済不可,"35.709476838632206,139.5596108848147",不明の為情報お待ちしております,東京都武蔵野市西久保2-15-27 ,1691,ramen,True,35.709476838632206,139.5596108848147,"too far, nothing i can recall"
食べログ ラーメン TOKYO 百名店 2023 選出店,タンタン,八王子駅 412m , ラーメン・つけ麺(ラーメン),,-,-,3.87,月曜日、土曜日、日曜日、祝日,https://tabelog.com/tokyo/A1329/A132904/13046007/,予約不可,,JR中央線・横浜線・八高線「八王子駅」南口より、徒歩12分京王線「京王八王子駅」中央口より、徒歩10分 八王子駅から412m,,,カード不可 電子マネー不可 QRコード決済不可,"35.65190943859895,139.34031438438694",非公開,東京都八王子市子安町1-30-6 ,1147,ramen,False,35.65190943859895,139.34031438438694,
食べログ ラーメン TOKYO 百名店 2023 選出店,一条流がんこ総本家分家四谷荒木町,四谷三丁目駅 165m , ラーメン・つけ麺(ラーメン),,-,-,3.87,水曜日,https://tabelog.com/tokyo/A1309/A130903/13126058/,予約不可,,曙橋駅より徒歩5分四谷三丁目駅より徒歩3分 四谷三丁目駅から165m,09:00 - 14:00,■ 定休日基本は水曜日定休（公式twitterを参照のこと）,カード不可 電子マネー不可 QRコード決済不可,"35.68926773013858,139.7215065559468",非公開,東京都新宿区舟町4-1 メゾンド四谷 106,1055,ramen,False,35.68926773013858,139.7215065559468,
食べログ ラーメン TOKYO 百名店 2023 選出店,桜上水 船越,桜上水駅 236m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.87,水曜日、日曜日,https://tabelog.com/tokyo/A1318/A131809/13281101/,予約不可,,京王線桜上水駅より徒歩3分 桜上水駅から236m,11:00 - 15:00,■ 営業時間11:00〜15:00※基本的に、売切れ無しで15時までに店頭に並べば提供可能との事(※万が一売切れ有りの日にはXにて事前にpost有り),カード不可 電子マネー不可 QRコード決済不可,"35.66881993868159,139.6335682843522",不明の為情報お待ちしております,東京都杉並区下高井戸1-21-10 1F,972,ramen,False,35.66881993868159,139.6335682843522,
食べログ ラーメン TOKYO 百名店 2023 選出店,味噌っ子 ふっく,荻窪駅 676m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(担々麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,火曜日,https://tabelog.com/tokyo/A1319/A131906/13226777/,予約不可,,関東バス・西武バス 四面道停留所徒歩3分 荻窪駅から676m,11:00 - 15:00,■ 営業時間売り切れ次第終了■ 定休日第2・4月曜日,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可,"35.70837393865029,139.61417888476532",03-6913-6649,東京都杉並区上荻2-40-11 四面道ビル 1F,1714,ramen,False,35.70837393865029,139.61417888476532,
食べログ ラーメン TOKYO 百名店 2023 選出店,中華ソバ 伊吹,志村坂上駅 426m , ラーメン・つけ麺(ラーメン),,-,-,3.86,月曜日、日曜日,https://tabelog.com/tokyo/A1322/A132205/13163874/,予約不可,,＜電車を使う場合＞都営三田線「志村坂上」駅(A2出口)より、徒歩6分＜バスを使う場合＞JR赤羽駅、東武東上線ときわ台駅より国際興業バス赤53系統「前野町４丁目」バス停下車徒歩2分 志村坂上駅から426m,11:45 - 14:30,■ 営業時間[火～土]11:45～14:30（スープ終了次第閉店。約65杯）18:40～20:35（スープ終了次第閉店。約45杯)※提供杯数やスープ終了の情報、臨時休業等は随時ホームページに記載されますので、ご来店予定の方はぜひ事前にチェックする事をおすすめいたします。,カード不可 電子マネー不可 QRコード決済不可,"35.77269303863441,139.69254428536007",080-4928-0013,東京都板橋区前野町4-58-10 見次パークマンション 1F,1554,ramen,False,35.77269303863441,139.69254428536007,
食べログ ラーメン TOKYO 百名店 2023 選出店,支那ソバ おさだ,大山駅 174m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(担々麺)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,水曜日、土曜日,https://tabelog.com/tokyo/A1322/A132203/13266841/,予約不可,,東武東上線 大山駅 大山駅から174m,,,カード不可 電子マネー不可 QRコード決済不可,"35.74749603865411,139.7041906850974",不明の為情報お待ちしております,東京都板橋区大山金井町38-1 ,894,ramen,False,35.74749603865411,139.7041906850974,
,手打ち 蓮,森下駅 397m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,月曜日、金曜日,https://tabelog.com/tokyo/A1312/A131201/13278390/,予約不可,,森下駅徒歩6分両国駅徒歩8分 森下駅から397m,11:30 - 15:00,11月19日体調不良の為お休みします。店内が狭い為、小学生未満（小学生可）のご入店はご遠慮いただいております。祝日でも月曜金曜は定休日です。,カード不可 電子マネー不可 QRコード決済不可,"35.691454138718925,139.79590768446707",不明の為情報お待ちしております,東京都墨田区千歳3-16-2 ,719,ramen,True,35.691454138718925,139.79590768446707,
,燎,新富町駅 184m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,水曜日,https://tabelog.com/tokyo/A1313/A131301/13296303/,予約可,,東京メトロ有楽町線　新富町駅(5番出口)から徒歩2-3分程。東京メトロ日比谷線　築地駅(4番出口)から徒歩5-6分程。 新富町駅から184m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.6721043768324,139.77426579083888",不明の為情報お待ちしております,東京都中央区新富1-9-5 SOPHIA GINZA 1F,435,ramen,True,35.6721043768324,139.77426579083888,
食べログ ラーメン TOKYO 百名店 2023 選出店,三ん寅,江戸川橋駅 263m , ラーメン・つけ麺(ラーメン),,-,-,3.85,-,https://tabelog.com/tokyo/A1309/A130905/13240660/,予約不可,,東京メトロ有楽町線・江戸川橋1b出口から徒歩3分東京メトロ東西線・神楽坂駅2出口から徒歩10分 江戸川橋駅から263m,11:00 - 15:00,■ 営業時間昼夜共に材料売り切れによる早目の終了あり■ 定休日不定休 (休みは店内とTwitterで告知),カード不可 電子マネー不可 QRコード決済不可,"35.70923783868675,139.73039638469257",03-6265-3989,東京都新宿区山吹町362 プレステージ362,2066,ramen,False,35.70923783868675,139.73039638469257,
食べログ ラーメン TOKYO 百名店 2023 選出店,MENSHO,護国寺駅 334m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(汁なし担々麺),Farm to Bowl,"￥1,000～￥1,999","￥1,000～￥1,999",3.85,月曜日,https://tabelog.com/tokyo/A1323/A132302/13203848/,予約不可,,東京メトロ有楽町線「護国寺」駅(6番出口)から徒歩2分 護国寺駅から334m,11:00 - 21:00L.O. 20:40,■ 営業時間年末年始は以下の営業時間です12/28:通常営業12/29〜1/3 お休み1/4〜 通常営業,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.71632903868171,139.72867948476545",03-6902-2878,東京都文京区音羽1-17-16 中銀音羽マンシオン１F,1538,ramen,False,35.71632903868171,139.72867948476545,
食べログ ラーメン TOKYO 百名店 2023 選出店,らーめんMAIKAGURA,千歳船橋駅 492m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),”日本だからこそ創れる一杯”でありたい。素材のチカラを最大限引き出す新進気鋭のらーめん店,"￥1,000～￥1,999","￥1,000～￥1,999",3.85,月曜日、祝後日,https://tabelog.com/tokyo/A1318/A131813/13218425/,予約不可,,千歳船橋駅徒歩７分 千歳船橋駅から492m,11:30 - 15:00L.O. 料理15:00,■ 営業時間但し、食材切れの際は営業を終了させていただく場合がございます。■ 定休日月曜日(祝祭日の場合は翌平日休み),カード不可 電子マネー不可 QRコード決済不可,"35.64806133869013,139.61897928415272",03-6875-7110,東京都世田谷区船橋1-38-4 ,1389,ramen,False,35.64806133869013,139.61897928415272,
食べログ ラーメン TOKYO 百名店 2023 選出店,燦燦斗,東十条駅 110m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,～￥999,～￥999,3.85,月曜日、木曜日,https://tabelog.com/tokyo/A1323/A132304/13038064/,予約不可,,JR京浜東北線「東十条」駅(北口)から徒歩2分北口を出てすぐ左手側にある坂道をくだる途中にあります。※階段を降りてはいけません。 東十条駅から110m,,,カード不可 電子マネー不可 QRコード決済不可,"35.76457923865014,139.7257920852548",非公開,東京都北区中十条3-16-15 ,1110,ramen,False,35.76457923865014,139.7257920852548,
食べログ ラーメン TOKYO 百名店 2023 選出店,自家製中華そば としおか,早稲田（メトロ）駅 507m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.85,日曜日,https://tabelog.com/tokyo/A1305/A130504/13182315/,予約不可,,東京メトロ東西線「早稲田」駅(１番出口)より、徒歩6分 早稲田駅（メトロ）から507m,,,カード不可 電子マネー不可 QRコード決済不可,"35.70470866647504,139.72653931593663",不明の為情報お待ちしております,東京都新宿区弁天町20 ,1072,ramen,False,35.70470866647504,139.72653931593663,
,塩そば 時空,高井戸駅 796m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.85,月曜日,https://tabelog.com/tokyo/A1319/A131906/13287906/,予約不可,,◾︎関東バス柳窪バス停から徒歩1分・京王井の頭線高井戸駅(荻54.58:荻窪駅南口、五日市街道営業所)・京王線芦花公園駅(荻54:荻窪駅南口)・JR荻窪駅南口(荻53:五日市街道営業所、荻54:芦花公園駅、荻56:日本年金機構入口、荻58:北野)・JR中野駅南口(中36:吉祥寺駅)・JR吉祥寺駅北口(中36:中野駅)・地下鉄丸ノ内線新高円寺駅(中36:吉祥寺駅)・地下鉄丸ノ内線東高円寺駅(中36:吉祥寺駅)◾︎京王電鉄井の頭線高井戸駅から徒歩12分 高井戸駅から796m,11:30 - 15:00,スープ、麺 売り切れ次第終了することがあります裏醤油そばは金土日のみまれに月曜日、営業することがありますイレギュラーに店休日があります臨時営業、臨時休業はInstagramやXで確認してください,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay）,"35.689749477108265,139.61897729524932",不明の為情報お待ちしております,東京都杉並区高井戸東4-14-7 ,364,ramen,False,35.689749477108265,139.61897729524932,
食べログ ラーメン TOKYO 百名店 2023 選出店,つけ麺 道,亀有駅 162m , ラーメン・つけ麺(つけ麺),,-,-,3.84,-,https://tabelog.com/tokyo/A1324/A132403/13094595/,予約不可,,JR亀有駅北口より徒歩3分 亀有駅から162m,10:30 - 15:00,月・火　道の塩(中濃塩らーめん、中濃塩つけ麺)水・木　濃厚塩つけ麺(通常の塩味バージョン)金・土・日　つけ麺　道(通常),カード不可 電子マネー不可 QRコード決済不可,"35.76790317485182,139.84682308345842",03-3605-8578,東京都葛飾区亀有5-28-17 ,1901,ramen,False,35.76790317485182,139.84682308345842,
食べログ ラーメン TOKYO 百名店 2023 選出店,柴崎亭 つつじヶ丘本店,つつじケ丘駅 131m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.84,-,https://tabelog.com/tokyo/A1326/A132601/13135162/,予約不可,,京王線つつじヶ丘駅北口より徒歩2分 つつじケ丘駅から131m,,,カード不可 電子マネー不可 QRコード決済不可,"35.65757159558009,139.57378195047454",非公開,東京都調布市西つつじヶ丘3-25-52 ,1895,ramen,False,35.65757159558009,139.57378195047454,
,麺屋 周郷,新橋駅 211m , ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.84,-,https://tabelog.com/tokyo/A1301/A130103/13260478/,予約不可,,JR新橋駅南改札烏森口より徒歩2分都営浅草線新橋駅　新橋4丁目方面改札(出口A1)より徒歩3分程。 新橋駅から211m,11:00 - 15:00,■ 営業時間食材がなくなり次第終了■定休日なし,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"35.664573638723795,139.75762378422237",070-9010-2717,東京都港区新橋4-19-1 ,1321,ramen,True,35.664573638723795,139.75762378422237,
